ip_address,email_address,billing_state,user_agent,billing_postal,phone_number,EVENT_TIMESTAMP,billing_address,EVENT_LABEL
112.136.132.151,fake_cgonzales@example.net,NC,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/34.0.827.0 Mobile/13K063 Safari/532.2",34491,(555)333 - 9246,2022-10-14T00:28:30Z,12351 Amanda Knolls Fake St.,legit
192.169.234.143,fake_dustin64@example.net,CO,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.44.3 (KHTML, like Gecko) Version/4.0.3 Safari/532.44.3",34555,(555)779 - 5604,2022-11-29T22:19:40Z,691 Deborah Estate Fake St.,legit
185.112.224.79,fake_samuel59@example.net,CO,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_0 rv:5.0; mr-IN) AppleWebKit/532.25.5 (KHTML, like Gecko) Version/4.0 Safari/532.25.5",33611,(555)948 - 9198,2023-02-18T09:16:19Z,28583 Joseph Tunnel Fake St.,legit
68.73.183.186,fake_tinalopez@example.net,TN,"Mozilla/5.0 (Linux; Android 7.1.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/59.0.807.0 Safari/535.1",33520,(555)477 - 7885,2022-12-19T09:13:35Z,019 Linda Via Fake St.,legit
117.65.246.206,fake_alyssa53@example.com,NM,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/3.1),33889,(555)873 - 2599,2023-01-28T15:32:34Z,1023 Cook Loaf Fake St.,legit
94.136.78.30,fake_mweiss@example.org,TN,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2016-07-11 01:27:14 Firefox/11.0,34362,(555)798 - 9983,2023-02-24T00:09:16Z,520 Matthew Village Fake St.,legit
33.106.173.169,fake_lewishannah@example.com,MI,Mozilla/5.0 (Windows NT 5.2; ru-RU; rv:1.9.0.20) Gecko/2012-05-20 13:38:09 Firefox/14.0,34421,(555)178 - 9229,2022-06-04T16:04:40Z,30898 Duncan Extensions Fake St.,legit
204.239.99.54,fake_james61@example.net,PA,Mozilla/5.0 (Windows 98; Win 9x 4.90; ber-DZ; rv:1.9.2.20) Gecko/2011-11-28 08:08:08 Firefox/3.8,33605,(555)349 - 2778,2022-12-12T22:18:53Z,8307 Grimes Island Fake St.,legit
49.41.75.93,fake_shane51@example.com,TX,"Mozilla/5.0 (Windows CE) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/34.0.855.0 Safari/532.2",33918,(555)759 - 7902,2022-11-13T00:24:07Z,284 Cohen Dale Fake St.,legit
42.222.141.105,fake_geraldthornton@example.com,NC,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/63.0.813.0 Safari/532.2",34603,(555)912 - 6728,2022-03-30T09:38:45Z,0793 Michael Summit Fake St.,legit
